# Authored and repaired underground columns x,z,highestAffectedY; require one terrain block above.
# Excludes only 372 surface entrance columns; includes all 6679 underground columns.
-27,4,-15
-26,-5,-15
-26,5,-15
-24,-6,-15
-24,6,-15
-30,-1,-16
-30,0,-16
-30,1,-16
-29,-3,-16
-29,-2,-16
-29,2,-16
-29,3,-16
-28,-4,-16
-28,4,-16
-27,-5,-16
-27,5,-16
-25,-6,-16
-25,6,-16
-31,-1,-17
-31,0,-17
-31,1,-17
-30,-3,-17
-30,-2,-17
-30,2,-17
-30,3,-17
-29,-4,-17
-29,4,-17
-28,-5,-17
-28,5,-17
-26,-6,-17
-26,6,-17
-32,-1,-18
-32,0,-18
-32,1,-18
-31,-3,-18
-31,-2,-18
-31,2,-18
-31,3,-18
-30,-4,-18
-30,4,-18
-29,-5,-18
-29,5,-18
-27,-6,-18
-27,6,-18
-33,-1,-19
-33,0,-19
-33,1,-19
-32,-3,-19
-32,-2,-19
-32,2,-19
-32,3,-19
-31,-4,-19
-31,4,-19
-30,-5,-19
-30,5,-19
-28,-6,-19
-28,6,-19
-34,-1,-20
-34,0,-20
-34,1,-20
-33,-3,-20
-33,-2,-20
-33,2,-20
-33,3,-20
-32,-4,-20
-32,4,-20
-31,-5,-20
-31,5,-20
-29,-6,-20
-29,6,-20
-35,-1,-21
-35,0,-21
-35,1,-21
-34,-3,-21
-34,-2,-21
-34,2,-21
-34,3,-21
-33,-4,-21
-33,4,-21
-32,-5,-21
-32,5,-21
-30,-6,-21
-30,6,-21
-36,-1,-22
-36,0,-22
-36,1,-22
-35,-3,-22
-35,-2,-22
-35,2,-22
-35,3,-22
-34,-4,-22
-34,4,-22
-33,-5,-22
-33,5,-22
-31,-6,-22
-31,6,-22
-37,-1,-23
-37,0,-23
-37,1,-23
-36,-3,-23
-36,-2,-23
-36,2,-23
-36,3,-23
-35,-4,-23
-35,4,-23
-34,-5,-23
-34,5,-23
-32,-6,-23
-32,6,-23
-38,-1,-24
-38,0,-24
-38,1,-24
-37,-3,-24
-37,-2,-24
-37,2,-24
-37,3,-24
-36,-4,-24
-36,4,-24
-35,-5,-24
-35,5,-24
-33,-6,-24
-33,6,-24
-39,-1,-25
-39,0,-25
-39,1,-25
-38,-3,-25
-38,-2,-25
-38,2,-25
-38,3,-25
-37,-4,-25
-37,4,-25
-36,-5,-25
-36,5,-25
-34,-6,-25
-34,6,-25
-40,-1,-26
-40,0,-26
-40,1,-26
-39,-3,-26
-39,-2,-26
-39,2,-26
-39,3,-26
-38,-4,-26
-38,4,-26
-37,-5,-26
-37,5,-26
-35,-6,-26
-35,6,-26
-130,-39,-27
-130,-38,-27
-130,-37,-27
-130,-36,-27
-130,-35,-27
-130,-34,-27
-130,-33,-27
-130,-32,-27
-130,-31,-27
-130,-30,-27
-130,-29,-27
-130,-28,-27
-130,-27,-27
-130,-26,-27
-130,-25,-27
-130,-24,-27
-130,-23,-27
-130,-22,-27
-130,-21,-27
-130,-20,-27
-130,-19,-27
-130,-18,-27
-130,-17,-27
-130,-16,-27
-130,-15,-27
-130,-14,-27
-130,-13,-27
-130,-12,-27
-130,-11,-27
-130,-10,-27
-130,-9,-27
-130,-8,-27
-130,-7,-27
-130,-6,-27
-130,-5,-27
-130,-4,-27
-130,-3,-27
-130,-2,-27
-130,-1,-27
-130,0,-27
-130,1,-27
-130,2,-27
-130,3,-27
-130,4,-27
-130,5,-27
-130,6,-27
-130,7,-27
-130,8,-27
-130,9,-27
-130,10,-27
-130,11,-27
-130,12,-27
-130,13,-27
-130,14,-27
-130,15,-27
-130,16,-27
-130,17,-27
-130,18,-27
-130,19,-27
-130,20,-27
-130,21,-27
-130,22,-27
-130,23,-27
-130,24,-27
-130,25,-27
-130,26,-27
-130,27,-27
-130,28,-27
-130,29,-27
-130,30,-27
-130,31,-27
-130,32,-27
-130,33,-27
-130,34,-27
-130,35,-27
-130,36,-27
-129,-39,-27
-129,-38,-27
-129,-37,-27
-129,-35,-27
-129,-34,-27
-129,-33,-27
-129,-32,-27
-129,-31,-27
-129,-30,-27
-129,-29,-27
-129,-28,-27
-129,-27,-27
-129,-26,-27
-129,-25,-27
-129,-24,-27
-129,-23,-27
-129,-22,-27
-129,-21,-27
-129,-20,-27
-129,-19,-27
-129,-18,-27
-129,-17,-27
-129,-16,-27
-129,-15,-27
-129,-14,-27
-129,-13,-27
-129,-12,-27
-129,-11,-27
-129,-10,-27
-129,-9,-27
-129,-8,-27
-129,-7,-27
-129,-6,-27
-129,-5,-27
-129,-4,-27
-129,-3,-27
-129,-2,-27
-129,-1,-27
-129,0,-27
-129,1,-27
-129,2,-27
-129,3,-27
-129,4,-27
-129,5,-27
-129,6,-27
-129,7,-27
-129,8,-27
-129,9,-27
-129,10,-27
-129,11,-27
-129,12,-27
-129,13,-27
-129,14,-27
-129,15,-27
-129,16,-27
-129,17,-27
-129,18,-27
-129,19,-27
-129,20,-27
-129,21,-27
-129,22,-27
-129,23,-27
-129,24,-27
-129,25,-27
-129,26,-27
-129,27,-27
-129,28,-27
-129,29,-27
-129,30,-27
-129,31,-27
-129,32,-27
-129,33,-27
-129,34,-27
-129,35,-27
-129,36,-27
-129,37,-27
-129,38,-27
-128,-39,-27
-128,-38,-27
-128,-37,-27
-128,-35,-27
-128,-34,-27
-128,-33,-27
-128,-32,-27
-128,-31,-27
-128,-30,-27
-128,-29,-27
-128,-28,-27
-128,-27,-27
-128,-26,-27
-128,-25,-27
-128,-24,-27
-128,-23,-27
-128,-22,-27
-128,-21,-27
-128,-20,-27
-128,-19,-27
-128,-18,-27
-128,-17,-27
-128,-16,-27
-128,-15,-27
-128,-14,-27
-128,-13,-27
-128,-12,-27
-128,-11,-27
-128,-10,-27
-128,-9,-27
-128,-8,-27
-128,-7,-27
-128,-6,-27
-128,-5,-27
-128,-4,-27
-128,-3,-27
-128,-2,-27
-128,-1,-27
-128,0,-27
-128,1,-27
-128,2,-27
-128,3,-27
-128,4,-27
-128,5,-27
-128,6,-27
-128,7,-27
-128,8,-27
-128,9,-27
-128,10,-27
-128,11,-27
-128,12,-27
-128,13,-27
-128,14,-27
-128,15,-27
-128,16,-27
-128,17,-27
-128,18,-27
-128,19,-27
-128,20,-27
-128,21,-27
-128,22,-27
-128,23,-27
-128,24,-27
-128,25,-27
-128,26,-27
-128,27,-27
-128,28,-27
-128,29,-27
-128,30,-27
-128,31,-27
-128,32,-27
-128,33,-27
-128,34,-27
-128,35,-27
-128,36,-27
-128,37,-27
-127,-39,-27
-127,-38,-27
-127,-37,-27
-127,-36,-27
-127,-35,-27
-127,-34,-27
-127,-33,-27
-127,-32,-27
-127,-31,-27
-127,-30,-27
-127,-29,-27
-127,-28,-27
-127,-27,-27
-127,-26,-27
-127,-25,-27
-127,-24,-27
-127,-23,-27
-127,-22,-27
-127,-21,-27
-127,-20,-27
-127,-19,-27
-127,-18,-27
-127,-17,-27
-127,-16,-27
-127,-15,-27
-127,-14,-27
-127,-13,-27
-127,-12,-27
-127,-11,-27
-127,-10,-27
-127,-9,-27
-127,-8,-27
-127,-7,-27
-127,-6,-27
-127,-5,-27
-127,-4,-27
-127,-3,-27
-127,-2,-27
-127,-1,-27
-127,0,-27
-127,1,-27
-127,2,-27
-127,3,-27
-127,4,-27
-127,5,-27
-127,6,-27
-127,7,-27
-127,8,-27
-127,9,-27
-127,10,-27
-127,11,-27
-127,12,-27
-127,13,-27
-127,14,-27
-127,15,-27
-127,16,-27
-127,17,-27
-127,18,-27
-127,19,-27
-127,20,-27
-127,21,-27
-127,22,-27
-127,23,-27
-127,24,-27
-127,25,-27
-127,26,-27
-127,27,-27
-127,28,-27
-127,29,-27
-127,30,-27
-127,31,-27
-127,32,-27
-127,33,-27
-127,34,-27
-127,35,-27
-127,36,-27
-127,37,-27
-126,-39,-27
-126,-38,-27
-126,-37,-27
-126,-36,-27
-126,-35,-27
-126,-34,-27
-126,-33,-27
-126,-32,-27
-126,-31,-27
-126,-30,-27
-126,-29,-27
-126,-28,-27
-126,-27,-27
-126,-26,-27
-126,-25,-27
-126,-24,-27
-126,-23,-27
-126,-22,-27
-126,-21,-27
-126,-20,-27
-126,-19,-27
-126,-18,-27
-126,-17,-27
-126,-16,-27
-126,-15,-27
-126,-14,-27
-126,-13,-27
-126,-12,-27
-126,-11,-27
-126,-10,-27
-126,-9,-27
-126,-8,-27
-126,-7,-27
-126,-6,-27
-126,-5,-27
-126,-4,-27
-126,-3,-27
-126,-2,-27
-126,-1,-27
-126,0,-27
-126,1,-27
-126,2,-27
-126,3,-27
-126,4,-27
-126,5,-27
-126,6,-27
-126,7,-27
-126,8,-27
-126,9,-27
-126,10,-27
-126,11,-27
-126,12,-27
-126,13,-27
-126,14,-27
-126,15,-27
-126,16,-27
-126,17,-27
-126,18,-27
-126,19,-27
-126,20,-27
-126,21,-27
-126,22,-27
-126,23,-27
-126,24,-27
-126,25,-27
-126,26,-27
-126,27,-27
-126,28,-27
-126,29,-27
-126,30,-27
-126,31,-27
-126,32,-27
-126,33,-27
-126,34,-27
-126,35,-27
-126,36,-27
-126,37,-27
-125,-39,-27
-125,-38,-27
-125,-37,-27
-125,-36,-27
-125,-35,-27
-125,-34,-27
-125,-33,-27
-125,-32,-27
-125,-31,-27
-125,-30,-27
-125,-29,-27
-125,-28,-27
-125,-27,-27
-125,-26,-27
-125,-25,-27
-125,-24,-27
-125,-23,-27
-125,-22,-27
-125,-21,-27
-125,-20,-27
-125,-19,-27
-125,-18,-27
-125,-17,-27
-125,-16,-27
-125,-15,-27
-125,-14,-27
-125,-13,-27
-125,-12,-27
-125,-11,-27
-125,-10,-27
-125,-9,-27
-125,-8,-27
-125,-7,-27
-125,-6,-27
-125,-5,-27
-125,-4,-27
-125,-3,-27
-125,-2,-27
-125,-1,-27
-125,0,-27
-125,1,-27
-125,2,-27
-125,3,-27
-125,4,-27
-125,5,-27
-125,6,-27
-125,7,-27
-125,8,-27
-125,9,-27
-125,10,-27
-125,11,-27
-125,12,-27
-125,13,-27
-125,14,-27
-125,15,-27
-125,16,-27
-125,17,-27
-125,18,-27
-125,19,-27
-125,20,-27
-125,21,-27
-125,22,-27
-125,23,-27
-125,24,-27
-125,25,-27
-125,26,-27
-125,27,-27
-125,28,-27
-125,29,-27
-125,30,-27
-125,31,-27
-125,32,-27
-125,33,-27
-125,34,-27
-125,35,-27
-125,36,-27
-125,37,-27
-124,-39,-27
-124,-38,-27
-124,-37,-27
-124,-36,-27
-124,-35,-27
-124,-34,-27
-124,-33,-27
-124,-32,-27
-124,-31,-27
-124,-30,-27
-124,-29,-27
-124,-28,-27
-124,-27,-27
-124,-26,-27
-124,-25,-27
-124,-24,-27
-124,-23,-27
-124,-22,-27
-124,-21,-27
-124,-20,-27
-124,-19,-27
-124,-18,-27
-124,-17,-27
-124,-16,-27
-124,-15,-27
-124,-14,-27
-124,-13,-27
-124,-12,-27
-124,-11,-27
-124,-10,-27
-124,-9,-27
-124,-8,-27
-124,-7,-27
-124,-6,-27
-124,-5,-27
-124,-4,-27
-124,-3,-27
-124,-2,-27
-124,-1,-27
-124,0,-27
-124,1,-27
-124,2,-27
-124,3,-27
-124,4,-27
-124,5,-27
-124,6,-27
-124,7,-27
-124,8,-27
-124,9,-27
-124,10,-27
-124,11,-27
-124,12,-27
-124,13,-27
-124,14,-27
-124,15,-27
-124,16,-27
-124,17,-27
-124,18,-27
-124,19,-27
-124,20,-27
-124,21,-27
-124,22,-27
-124,23,-27
-124,24,-27
-124,25,-27
-124,26,-27
-124,27,-27
-124,28,-27
-124,29,-27
-124,30,-27
-124,31,-27
-124,32,-27
-124,33,-27
-124,34,-27
-124,35,-27
-124,36,-27
-124,37,-27
-123,-39,-27
-123,-38,-27
-123,-37,-27
-123,-36,-27
-123,-35,-27
-123,-34,-27
-123,-33,-27
-123,-32,-27
-123,-31,-27
-123,-30,-27
-123,-29,-27
-123,-28,-27
-123,-27,-27
-123,-26,-27
-123,-25,-27
-123,-24,-27
-123,-23,-27
-123,-22,-27
-123,-21,-27
-123,-20,-27
-123,-19,-27
-123,-18,-27
-123,-17,-27
-123,-16,-27
-123,-15,-27
-123,-14,-27
-123,-13,-27
-123,-12,-27
-123,-11,-27
-123,-10,-27
-123,-9,-27
-123,-8,-27
-123,-7,-27
-123,-6,-27
-123,-5,-27
-123,-4,-27
-123,-3,-27
-123,-2,-27
-123,-1,-27
-123,0,-27
-123,1,-27
-123,2,-27
-123,3,-27
-123,4,-27
-123,5,-27
-123,6,-27
-123,7,-27
-123,8,-27
-123,9,-27
-123,10,-27
-123,11,-27
-123,12,-27
-123,13,-27
-123,14,-27
-123,15,-27
-123,16,-27
-123,17,-27
-123,18,-27
-123,19,-27
-123,20,-27
-123,21,-27
-123,22,-27
-123,23,-27
-123,24,-27
-123,25,-27
-123,26,-27
-123,27,-27
-123,28,-27
-123,29,-27
-123,30,-27
-123,31,-27
-123,32,-27
-123,33,-27
-123,34,-27
-123,35,-27
-123,36,-27
-123,37,-27
-122,-39,-27
-122,-38,-27
-122,-37,-27
-122,-36,-27
-122,-35,-27
-122,-34,-27
-122,-33,-27
-122,-32,-27
-122,-31,-27
-122,-30,-27
-122,-29,-27
-122,-28,-27
-122,-27,-27
-122,-26,-27
-122,-25,-27
-122,-24,-27
-122,-23,-27
-122,-22,-27
-122,-21,-27
-122,-20,-27
-122,-19,-27
-122,-18,-27
-122,-17,-27
-122,-16,-27
-122,-15,-27
-122,-14,-27
-122,-13,-27
-122,-12,-27
-122,-11,-27
-122,-10,-27
-122,-9,-27
-122,-8,-27
-122,-7,-27
-122,-6,-27
-122,-5,-27
-122,-4,-27
-122,-3,-27
-122,-2,-27
-122,-1,-27
-122,0,-27
-122,1,-27
-122,2,-27
-122,3,-27
-122,4,-27
-122,5,-27
-122,6,-27
-122,7,-27
-122,8,-27
-122,9,-27
-122,10,-27
-122,11,-27
-122,12,-27
-122,13,-27
-122,14,-27
-122,15,-27
-122,16,-27
-122,17,-27
-122,18,-27
-122,19,-27
-122,20,-27
-122,21,-27
-122,22,-27
-122,23,-27
-122,24,-27
-122,25,-27
-122,26,-27
-122,27,-27
-122,28,-27
-122,29,-27
-122,30,-27
-122,31,-27
-122,32,-27
-122,33,-27
-122,34,-27
-122,35,-27
-122,36,-27
-122,37,-27
-121,-39,-27
-121,-38,-27
-121,-37,-27
-121,-36,-27
-121,-35,-27
-121,-34,-27
-121,-33,-27
-121,-32,-27
-121,-31,-27
-121,-30,-27
-121,-29,-27
-121,-28,-27
-121,-27,-27
-121,-26,-27
-121,-25,-27
-121,-24,-27
-121,-23,-27
-121,-22,-27
-121,-21,-27
-121,-20,-27
-121,-19,-27
-121,-18,-27
-121,-17,-27
-121,-16,-27
-121,-15,-27
-121,-14,-27
-121,-13,-27
-121,-12,-27
-121,-11,-27
-121,-10,-27
-121,-9,-27
-121,-8,-27
-121,-7,-27
-121,-6,-27
-121,-5,-27
-121,-4,-27
-121,-3,-27
-121,-2,-27
-121,-1,-27
-121,0,-27
-121,1,-27
-121,2,-27
-121,3,-27
-121,4,-27
-121,5,-27
-121,6,-27
-121,7,-27
-121,8,-27
-121,9,-27
-121,10,-27
-121,11,-27
-121,12,-27
-121,13,-27
-121,14,-27
-121,15,-27
-121,16,-27
-121,17,-27
-121,18,-27
-121,19,-27
-121,20,-27
-121,21,-27
-121,22,-27
-121,23,-27
-121,24,-27
-121,25,-27
-121,26,-27
-121,27,-27
-121,28,-27
-121,29,-27
-121,30,-27
-121,31,-27
-121,32,-27
-121,33,-27
-121,34,-27
-121,35,-27
-121,36,-27
-121,37,-27
-120,-39,-27
-120,-38,-27
-120,-37,-27
-120,-36,-27
-120,-35,-27
-120,-34,-27
-120,-33,-27
-120,-32,-27
-120,-31,-27
-120,-30,-27
-120,-29,-27
-120,-28,-27
-120,-27,-27
-120,-26,-27
-120,-25,-27
-120,-24,-27
-120,-23,-27
-120,-22,-27
-120,-21,-27
-120,-20,-27
-120,-19,-27
-120,-18,-27
-120,-17,-27
-120,-16,-27
-120,-15,-27
-120,-14,-27
-120,-13,-27
-120,-12,-27
-120,-11,-27
-120,-10,-27
-120,-9,-27
-120,-8,-27
-120,-7,-27
-120,-6,-27
-120,-5,-27
-120,-4,-27
-120,-3,-27
-120,-2,-27
-120,-1,-27
-120,0,-27
-120,1,-27
-120,2,-27
-120,3,-27
-120,4,-27
-120,5,-27
-120,6,-27
-120,7,-27
-120,8,-27
-120,9,-27
-120,10,-27
-120,11,-27
-120,12,-27
-120,13,-27
-120,14,-27
-120,15,-27
-120,16,-27
-120,17,-27
-120,18,-27
-120,19,-27
-120,20,-27
-120,21,-27
-120,22,-27
-120,23,-27
-120,24,-27
-120,25,-27
-120,26,-27
-120,27,-27
-120,28,-27
-120,29,-27
-120,30,-27
-120,31,-27
-120,32,-27
-120,33,-27
-120,34,-27
-120,35,-27
-120,36,-27
-120,37,-27
-119,-39,-27
-119,-38,-27
-119,-37,-27
-119,-36,-27
-119,-35,-27
-119,-34,-27
-119,-33,-27
-119,-32,-27
-119,-31,-27
-119,-30,-27
-119,-29,-27
-119,-28,-27
-119,-27,-27
-119,-26,-27
-119,-25,-27
-119,-24,-27
-119,-23,-27
-119,-22,-27
-119,-21,-27
-119,-20,-27
-119,-19,-27
-119,-18,-27
-119,-17,-27
-119,-16,-27
-119,-15,-27
-119,-14,-27
-119,-13,-27
-119,-12,-27
-119,-11,-27
-119,-10,-27
-119,-9,-27
-119,-8,-27
-119,-7,-27
-119,-6,-27
-119,-5,-27
-119,-4,-27
-119,-3,-27
-119,-2,-27
-119,-1,-27
-119,0,-27
-119,1,-27
-119,2,-27
-119,3,-27
-119,4,-27
-119,5,-27
-119,6,-27
-119,7,-27
-119,8,-27
-119,9,-27
-119,10,-27
-119,11,-27
-119,12,-27
-119,13,-27
-119,14,-27
-119,15,-27
-119,16,-27
-119,17,-27
-119,18,-27
-119,19,-27
-119,20,-27
-119,21,-27
-119,22,-27
-119,23,-27
-119,24,-27
-119,25,-27
-119,26,-27
-119,27,-27
-119,28,-27
-119,29,-27
-119,30,-27
-119,31,-27
-119,32,-27
-119,33,-27
-119,34,-27
-119,35,-27
-119,36,-27
-119,37,-27
-118,-39,-27
-118,-38,-27
-118,-37,-27
-118,-36,-27
-118,-35,-27
-118,-34,-27
-118,-33,-27
-118,-32,-27
-118,-31,-27
-118,-30,-27
-118,-29,-27
-118,-28,-27
-118,-27,-27
-118,-26,-27
-118,-25,-27
-118,-24,-27
-118,-23,-27
-118,-22,-27
-118,-21,-27
-118,-20,-27
-118,-19,-27
-118,-18,-27
-118,-17,-27
-118,-16,-27
-118,-15,-27
-118,-14,-27
-118,-13,-27
-118,-12,-27
-118,-11,-27
-118,-10,-27
-118,-9,-27
-118,-8,-27
-118,-7,-27
-118,-6,-27
-118,-5,-27
-118,-4,-27
-118,-3,-27
-118,-2,-27
-118,-1,-27
-118,0,-27
-118,1,-27
-118,2,-27
-118,3,-27
-118,4,-27
-118,5,-27
-118,6,-27
-118,7,-27
-118,8,-27
-118,9,-27
-118,10,-27
-118,11,-27
-118,12,-27
-118,13,-27
-118,14,-27
-118,15,-27
-118,16,-27
-118,17,-27
-118,18,-27
-118,19,-27
-118,20,-27
-118,21,-27
-118,22,-27
-118,23,-27
-118,24,-27
-118,25,-27
-118,26,-27
-118,27,-27
-118,28,-27
-118,29,-27
-118,30,-27
-118,31,-27
-118,32,-27
-118,33,-27
-118,34,-27
-118,35,-27
-118,36,-27
-118,37,-27
-117,-39,-27
-117,-38,-27
-117,-37,-27
-117,-36,-27
-117,-35,-27
-117,-34,-27
-117,-33,-27
-117,-32,-27
-117,-31,-27
-117,-30,-27
-117,-29,-27
-117,-28,-27
-117,-27,-27
-117,-26,-27
-117,-25,-27
-117,-24,-27
-117,-23,-27
-117,-22,-27
-117,-21,-27
-117,-20,-27
-117,-19,-27
-117,-18,-27
-117,-17,-27
-117,-16,-27
-117,-15,-27
-117,-14,-27
-117,-13,-27
-117,-12,-27
-117,-11,-27
-117,-10,-27
-117,-9,-27
-117,-8,-27
-117,-7,-27
-117,-6,-27
-117,-5,-27
-117,-4,-27
-117,-3,-27
-117,-2,-27
-117,-1,-27
-117,0,-27
-117,1,-27
-117,2,-27
-117,3,-27
-117,4,-27
-117,5,-27
-117,6,-27
-117,7,-27
-117,8,-27
-117,9,-27
-117,10,-27
-117,11,-27
-117,12,-27
-117,13,-27
-117,14,-27
-117,15,-27
-117,16,-27
-117,17,-27
-117,18,-27
-117,19,-27
-117,20,-27
-117,21,-27
-117,22,-27
-117,23,-27
-117,24,-27
-117,25,-27
-117,26,-27
-117,27,-27
-117,28,-27
-117,29,-27
-117,30,-27
-117,31,-27
-117,32,-27
-117,33,-27
-117,34,-27
-117,35,-27
-117,36,-27
-117,37,-27
-116,-39,-27
-116,-38,-27
-116,-37,-27
-116,-36,-27
-116,-35,-27
-116,-34,-27
-116,-33,-27
-116,-32,-27
-116,-31,-27
-116,-30,-27
-116,-29,-27
-116,-28,-27
-116,-27,-27
-116,-26,-27
-116,-25,-27
-116,-24,-27
-116,-23,-27
-116,-22,-27
-116,-21,-27
-116,-20,-27
-116,-19,-27
-116,-18,-27
-116,-17,-27
-116,-16,-27
-116,-15,-27
-116,-14,-27
-116,-13,-27
-116,-12,-27
-116,-11,-27
-116,-10,-27
-116,-9,-27
-116,-8,-27
-116,-7,-27
-116,-6,-27
-116,-5,-27
-116,-4,-27
-116,-3,-27
-116,-2,-27
-116,-1,-27
-116,0,-27
-116,1,-27
-116,2,-27
-116,3,-27
-116,4,-27
-116,5,-27
-116,6,-27
-116,7,-27
-116,8,-27
-116,9,-27
-116,10,-27
-116,11,-27
-116,12,-27
-116,13,-27
-116,14,-27
-116,15,-27
-116,16,-27
-116,17,-27
-116,18,-27
-116,19,-27
-116,20,-27
-116,21,-27
-116,22,-27
-116,23,-27
-116,24,-27
-116,25,-27
-116,26,-27
-116,27,-27
-116,28,-27
-116,29,-27
-116,30,-27
-116,31,-27
-116,32,-27
-116,33,-27
-116,34,-27
-116,35,-27
-116,36,-27
-116,37,-27
-115,-39,-27
-115,-38,-27
-115,-37,-27
-115,-36,-27
-115,-35,-27
-115,-34,-27
-115,-33,-27
-115,-32,-27
-115,-31,-27
-115,-30,-27
-115,-29,-27
-115,-28,-27
-115,-27,-27
-115,-26,-27
-115,-25,-27
-115,-24,-27
-115,-23,-27
-115,-22,-27
-115,-21,-27
-115,-20,-27
-115,-19,-27
-115,-18,-27
-115,-17,-27
-115,-16,-27
-115,-15,-27
-115,-14,-27
-115,-13,-27
-115,-12,-27
-115,-11,-27
-115,-10,-27
-115,-9,-27
-115,-8,-27
-115,-7,-27
-115,-6,-27
-115,-5,-27
-115,-4,-27
-115,-3,-27
-115,-2,-27
-115,-1,-27
-115,0,-27
-115,1,-27
-115,2,-27
-115,3,-27
-115,4,-27
-115,5,-27
-115,6,-27
-115,7,-27
-115,8,-27
-115,9,-27
-115,10,-27
-115,11,-27
-115,12,-27
-115,13,-27
-115,14,-27
-115,15,-27
-115,16,-27
-115,17,-27
-115,18,-27
-115,19,-27
-115,20,-27
-115,21,-27
-115,22,-27
-115,23,-27
-115,24,-27
-115,25,-27
-115,26,-27
-115,27,-27
-115,28,-27
-115,29,-27
-115,30,-27
-115,31,-27
-115,32,-27
-115,33,-27
-115,34,-27
-115,35,-27
-115,36,-27
-115,37,-27
-114,-39,-27
-114,-38,-27
-114,-37,-27
-114,-36,-27
-114,-35,-27
-114,-34,-27
-114,-33,-27
-114,-32,-27
-114,-31,-27
-114,-30,-27
-114,-29,-27
-114,-28,-27
-114,-27,-27
-114,-26,-27
-114,-25,-27
-114,-24,-27
-114,-23,-27
-114,-22,-27
-114,-21,-27
-114,-20,-27
-114,-19,-27
-114,-18,-27
-114,-17,-27
-114,-16,-27
-114,-15,-27
-114,-14,-27
-114,-13,-27
-114,-12,-27
-114,-11,-27
-114,-10,-27
-114,-9,-27
-114,-8,-27
-114,-7,-27
-114,-6,-27
-114,-5,-27
-114,-4,-27
-114,-3,-27
-114,-2,-27
-114,-1,-27
-114,0,-27
-114,1,-27
-114,2,-27
-114,3,-27
-114,4,-27
-114,5,-27
-114,6,-27
-114,7,-27
-114,8,-27
-114,9,-27
-114,10,-27
-114,11,-27
-114,12,-27
-114,13,-27
-114,14,-27
-114,15,-27
-114,16,-27
-114,17,-27
-114,18,-27
-114,19,-27
-114,20,-27
-114,21,-27
-114,22,-27
-114,23,-27
-114,24,-27
-114,25,-27
-114,26,-27
-114,27,-27
-114,28,-27
-114,29,-27
-114,30,-27
-114,31,-27
-114,32,-27
-114,33,-27
-114,34,-27
-114,35,-27
-114,36,-27
-114,37,-27
-113,-39,-27
-113,-38,-27
-113,-37,-27
-113,-36,-27
-113,-35,-27
-113,-34,-27
-113,-33,-27
-113,-32,-27
-113,-31,-27
-113,-30,-27
-113,-29,-27
-113,-28,-27
-113,-27,-27
-113,-26,-27
-113,-25,-27
-113,-24,-27
-113,-23,-27
-113,-22,-27
-113,-21,-27
-113,-20,-27
-113,-19,-27
-113,-18,-27
-113,-17,-27
-113,-16,-27
-113,-15,-27
-113,-14,-27
-113,-13,-27
-113,-12,-27
-113,-11,-27
-113,-10,-27
-113,-9,-27
-113,-8,-27
-113,-7,-27
-113,-6,-27
-113,-5,-27
-113,-4,-27
-113,-3,-27
-113,-2,-27
-113,-1,-27
-113,0,-27
-113,1,-27
-113,2,-27
-113,3,-27
-113,4,-27
-113,5,-27
-113,6,-27
-113,7,-27
-113,8,-27
-113,9,-27
-113,10,-27
-113,11,-27
-113,12,-27
